year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,BGD,Bangladesh,BD,Khulna,BD40,Meherpur,BD4057,362691,334277,696968,23365,23237,25956,25600,29018,31388,33201,32111,28817,26069,20077,17963,13155,12255,8761,6522,5196,24095,23432,27929,27086,26563,27004,27018,26601,25647,24449,20196,16672,12231,9534,7317,4845,3658,47460,46669,53885,52686,55581,58392,60219,58712,54464,50518,40273,34635,25386,21789,16078,11367,8854
2022,BGD,Bangladesh,BD,Khulna,BD40,Narail,BD4065,374398,335747,710145,28988,30026,30605,26564,28453,28937,29513,27599,25323,25339,21481,18970,15089,13869,9407,7780,6455,30050,31233,31873,28023,24362,23722,23191,21892,21526,21293,18128,17388,13573,12105,7510,5845,4033,59038,61259,62478,54587,52815,52659,52704,49491,46849,46632,39609,36358,28662,25974,16917,13625,10488
2022,BGD,Bangladesh,BD,Khulna,BD40,Satkhira,BD4087,1051511,972334,2023845,68104,71751,79465,85486,90608,86089,88553,85583,74317,73236,57746,53436,38359,38615,25283,20801,14079,70577,73943,82375,84273,81959,77446,73989,70740,67450,66575,53236,50211,35591,34416,21771,16795,10987,138681,145694,161840,169759,172567,163535,162542,156323,141767,139811,110982,103647,73950,73031,47054,37596,25066
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Jamalpur,BD4539,1256882,1139024,2395906,106485,110820,96637,77293,94503,102190,103049,98244,90531,83927,74878,60825,50831,40270,30740,19674,15985,110007,114831,106007,85910,74275,82452,82239,82389,75652,71773,66362,54072,45244,33146,26483,15900,12282,216492,225651,202644,163203,168778,184642,185288,180633,166183,155700,141240,114897,96075,73416,57223,35574,28267
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Mymensingh,BD4561,2913595,2715383,5628978,271363,274933,243373,206085,229347,225686,219137,205605,195373,180842,162640,126271,112323,90183,74576,46427,49431,278868,284923,254682,220755,210429,198060,184200,175404,166167,152677,145085,117378,104236,80095,66194,39166,37064,550231,559856,498055,426840,439776,423746,403337,381009,361540,333519,307725,243649,216559,170278,140770,85593,86495
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Netrakona,BD4572,1242648,1162804,2405452,125080,125400,106406,82835,88718,94432,94685,83239,82698,71438,71129,49942,50824,37230,33893,19689,25010,128448,129936,113777,93405,83111,77429,76008,72730,73573,62584,62041,48595,45704,34846,28549,16246,15822,253528,255336,220183,176240,171829,171861,170693,155969,156271,134022,133170,98537,96528,72076,62442,35935,40832
2022,BGD,Bangladesh,BD,Mymensingh,BD45,Sherpur,BD4589,713660,665766,1379426,63621,65528,57652,45464,56608,57910,55664,53278,49645,44877,42694,31364,28392,21320,17959,10630,11054,65390,68099,63655,50667,46082,50031,48101,46243,43185,38192,37881,29094,26835,18472,16263,9016,8560,129011,133627,121307,96131,102690,107941,103765,99521,92830,83069,80575,60458,55227,39792,34222,19646,19614
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Bogra,BD5010,1895517,1806870,3702387,135051,133182,133109,134186,162407,170460,162142,158402,137697,138113,105109,98488,69352,64550,39672,30969,22628,141367,140333,146242,150318,155747,156467,140918,140828,123212,122396,98649,93566,64126,53719,35203,25618,18161,276418,273515,279351,284504,318154,326927,303060,299230,260909,260509,203758,192054,133478,118269,74875,56587,40789
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Joypurhat,BD5038,485423,461608,947031,31218,31170,32724,32438,39067,43127,44019,42757,37710,36698,28897,26271,19436,16545,10653,7419,5274,32103,32394,35277,36396,36350,39353,38411,37854,34719,32659,26586,24610,17819,14912,10470,6957,4738,63321,63564,68001,68834,75417,82480,82430,80611,72429,69357,55483,50881,37255,31457,21123,14376,10012
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Naogaon,BD5064,1396389,1314640,2711029,92054,93285,94771,96163,121590,123771,123285,118554,107374,100111,79797,70752,54089,48233,31845,23626,17089,95583,96282,102728,109485,110896,114341,107783,102761,96997,91650,74281,65901,47344,40002,26645,18981,12980,187637,189567,197499,205648,232486,238112,231068,221315,204371,191761,154078,136653,101433,88235,58490,42607,30069
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Natore,BD5069,946157,894165,1840322,66295,66584,67012,67296,80567,84773,82250,79408,70758,66814,52696,44544,34096,30173,21438,16492,14961,68599,68585,72159,74788,74184,77304,73184,70154,63850,60221,49368,43055,31578,26138,18015,12411,10572,134894,135169,139171,142084,154751,162077,155434,149562,134608,127035,102064,87599,65674,56311,39453,28903,25533
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Nawabganj,BD5070,956454,880519,1836973,78786,77650,82771,82916,83226,76588,79578,73965,70220,58582,50133,41865,32330,27725,18925,12140,9054,80303,79841,83596,81205,77771,66725,63932,59772,59599,52701,46848,38716,30037,24885,17351,10378,6859,159089,157491,166367,164121,160997,143313,143510,133737,129819,111283,96981,80581,62367,52610,36276,22518,15913
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Pabna,BD5076,1452545,1380142,2832687,118574,115388,112494,106689,127586,127684,121094,111361,101069,91524,80698,64582,53366,42958,32936,22347,22195,122017,119242,119820,116501,116249,115862,107974,99499,92834,81629,74214,60729,51621,37748,29814,17973,16416,240591,234630,232314,223190,243835,243546,229068,210860,193903,173153,154912,125311,104987,80706,62750,40320,38611
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Rajshahi,BD5081,1445651,1392086,2837737,94325,95459,108414,112337,127678,129236,129857,124704,109508,99897,76920,67849,50694,46254,31535,22294,18690,97336,99873,115354,132933,137033,122686,114982,108580,100528,92894,73436,62653,44800,36095,24038,16078,12787,191661,195332,223768,245270,264711,251922,244839,233284,210036,192791,150356,130502,95494,82349,55573,38372,31477
2022,BGD,Bangladesh,BD,Rajshahi,BD50,Sirajganj,BD5088,1763515,1679148,3442663,153675,157108,139165,127366,155240,148173,141416,132695,120691,109646,98425,78695,64892,51704,37342,24236,23046,158689,162869,149923,138952,141852,138294,124331,118301,108088,96158,88426,73764,61315,46449,34050,20347,17340,312364,319977,289088,266318,297092,286467,265747,250996,228779,205804,186851,152459,126207,98153,71392,44583,40386
2022,BGD,Bangladesh,BD,Rangpur,BD55,Dinajpur,BD5527,1658216,1597325,3255541,127762,125948,125813,122038,135900,144019,136979,132329,118810,116779,92170,85672,58279,54429,34570,26047,20672,132834,130229,134203,139001,128944,129844,124961,118633,109912,104625,85789,81748,56215,49571,31743,22871,16202,260596,256177,260016,261039,264844,273863,261940,250962,228722,221404,177959,167420,114494,104000,66313,48918,36874
2022,BGD,Bangladesh,BD,Rangpur,BD55,Gaibandha,BD5532,1336663,1209006,2545669,112050,113149,99496,83883,109935,116080,108940,102459,91829,88723,77743,67663,51957,42937,30368,21696,17755,116748,118322,108302,90398,85621,96574,92970,88916,78867,72973,66180,59277,46161,34808,24743,15611,12535,228798,231471,207798,174281,195556,212654,201910,191375,170696,161696,143923,126940,98118,77745,55111,37307,30290
2022,BGD,Bangladesh,BD,Rangpur,BD55,Kurigram,BD5549,1217362,1092299,2309661,103273,103027,94540,79128,100901,105442,99712,91276,84853,78805,69762,57029,44316,36302,28388,21304,19304,107732,105749,101929,85724,77783,83162,80894,75565,70424,65381,59276,53552,40557,31336,23236,15996,14003,211005,208776,196469,164852,178684,188604,180606,166841,155277,144186,129038,110581,84873,67638,51624,37300,33307
2022,BGD,Bangladesh,BD,Rangpur,BD55,Lalmonirhat,BD5552,702472,666080,1368552,60223,62844,58124,50134,57275,60211,55049,52880,46430,46621,38778,34114,24017,20994,13916,11155,9707,62257,65933,61457,56503,49891,51746,49860,47245,41957,40559,34711,32574,23305,19263,12321,8817,7681,122480,128777,119581,106637,107166,111957,104909,100125,88387,87180,73489,66688,47322,40257,26237,19972,17388
2022,BGD,Bangladesh,BD,Rangpur,BD55,Nilphamari,BD5573,1057235,1018823,2076058,95113,96323,89110,79906,88006,89925,85852,80044,70999,68837,57824,49192,36038,28183,18747,12966,10170,99285,101261,93544,91165,78036,78282,75608,74001,65344,60166,51890,46624,36277,27431,18905,11758,9246,194398,197584,182654,171071,166042,168207,161460,154045,136343,129003,109714,95816,72315,55614,37652,24724,19416
2022,BGD,Bangladesh,BD,Rangpur,BD55,Panchagarh,BD5577,574806,553161,1127967,49972,49439,47297,45485,48161,49918,46379,45362,38716,37866,30491,27212,18630,15665,10190,7586,6437,52163,51135,48329,51581,45935,45491,42730,40590,36406,33762,27792,25141,17567,13935,9078,6228,5298,102135,100574,95626,97066,94096,95409,89109,85952,75122,71628,58283,52353,36197,29600,19268,13814,11735
2022,BGD,Bangladesh,BD,Rangpur,BD55,Rangpur,BD5585,1614582,1532785,3147367,124313,128512,125036,114547,134654,138149,131532,126138,114084,113014,92000,81922,58341,50464,33721,26181,21974,129400,134135,131793,127694,124989,123509,117252,113500,102572,98203,83655,78461,55691,44026,29999,20845,17061,253713,262647,256829,242241,259643,261658,248784,239638,216656,211217,175655,160383,114032,94490,63720,47026,39035
2022,BGD,Bangladesh,BD,Rangpur,BD55,Thakurgaon,BD5594,779190,753507,1532697,65336,65333,65036,60113,62671,67796,65812,62467,53680,50292,40837,37644,26191,23141,14613,9968,8260,67972,69022,67250,67096,60230,61255,59108,56659,50676,46334,37596,34651,24373,21337,13725,9207,7016,133308,134355,132286,127209,122901,129051,124920,119126,104356,96626,78433,72295,50564,44478,28338,19175,15276
2022,BGD,Bangladesh,BD,Sylhet,BD60,Habiganj,BD6036,1256881,1147162,2404043,132924,126530,108663,106762,96679,95138,92564,85519,79654,71588,67659,46863,47100,32333,29649,17495,19761,136485,130969,110222,106130,95459,80057,71121,70779,63780,57140,56080,43667,41629,29012,25556,15028,14048,269409,257499,218885,212892,192138,175195,163685,156298,143434,128728,123739,90530,88729,61345,55205,32523,33809
2022,BGD,Bangladesh,BD,Sylhet,BD60,Maulvibazar,BD6058,1153594,1064390,2217984,103544,104323,103430,109307,90172,91266,89222,84891,76722,70506,58829,46809,39465,29724,23762,15613,16009,106228,106635,104514,108172,93721,76286,67505,68053,63002,58897,52078,45316,37535,28720,21692,13973,12063,209772,210958,207944,217479,183893,167552,156727,152944,139724,129403,110907,92125,77000,58444,45454,29586,28072
2022,BGD,Bangladesh,BD,Sylhet,BD60,Sunamganj,BD6090,1507469,1437614,2945083,177436,162267,138214,117868,109924,112215,109938,98661,93434,81048,78423,53390,57147,36804,36371,19894,24435,181969,166771,144375,128456,119554,100178,90600,88410,79978,68111,66436,50426,50814,34920,31557,17796,17263,359405,329038,282589,246324,229478,212393,200538,187071,173412,149159,144859,103816,107961,71724,67928,37690,41698
2022,BGD,Bangladesh,BD,Sylhet,BD60,Sylhet,BD6091,2331126,2278722,4609848,232137,225970,220763,237285,192641,182666,174908,158926,146794,129336,115321,82284,75976,50286,45950,27068,32815,239781,230959,226848,248313,235186,180161,150709,140516,126067,107737,101232,80813,72878,49777,41073,23325,23347,471918,456929,447611,485598,427827,362827,325617,299442,272861,237073,216553,163097,148854,100063,87023,50393,56162
